Type;Bundesland_A;Stufe;Anzahl KH;mwFallzahlA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
1;00_Deutschland;bis 49 Betten;134;985,7463;13,9346;1,515;0,0203;00;b0049
1;00_Deutschland;50 bis 99 Betten;196;2366,8622;10,762;1,3935;0,0234;00;b0099
1;00_Deutschland;100 bis 149 Betten;201;4261,2537;10,6688;1,351;0,0396;00;b0149
1;00_Deutschland;150 bis 199 Betten;179;6871,5363;7,366;1,1376;0,0298;00;b0199
1;00_Deutschland;200 bis 249 Betten;125;9198,496;6,2588;1,0441;0,0284;00;b0249
1;00_Deutschland;250 bis 299 Betten;102;11198,451;6,5104;1,0236;0,0274;00;b0299
1;00_Deutschland;300 bis 399 Betten;179;13897,1173;6,8102;1,0871;0,0278;00;b0399
1;00_Deutschland;400 bis 499 Betten;120;19587,9083;6,0637;1,0183;0,0292;00;b0499
1;00_Deutschland;500 bis 599 Betten;78;22983,8846;6,4345;1,0869;0,027;00;b0599
1;00_Deutschland;600 bis 799 Betten;66;28406,2576;6,4974;1,1073;0,0283;00;b0799
1;00_Deutschland;800 bis 999 Betten;32;37982,7813;6,5051;1,1836;0,0275;00;b0999
1;00_Deutschland;1000 Betten und mehr;52;56843,7115;6,5674;1,3469;0,0301;00;b1000+
1;00_Deutschland;Ohne Angabe;17;5415,5882;7,52;0,9357;0,0243;00;oA
2;00_Deutschland;bis 49 Betten;48;1053,2083;3,6224;0,6106;0,0237;00;b0049
2;00_Deutschland;50 bis 99 Betten;56;1634,4107;3,7114;0,5982;0,0121;00;b0099
2;00_Deutschland;100 bis 149 Betten;81;1013,8642;3,7275;0,5267;0,0217;00;b0149
2;00_Deutschland;150 bis 199 Betten;96;589,6667;3,5523;0,5235;0,0181;00;b0199
2;00_Deutschland;200 bis 249 Betten;70;762,5714;3,5049;0,5673;0,0126;00;b0249
2;00_Deutschland;250 bis 299 Betten;65;825,60;3,5946;0,5815;0,0164;00;b0299
2;00_Deutschland;300 bis 399 Betten;108;687,0648;3,4585;0,5647;0,0188;00;b0399
2;00_Deutschland;400 bis 499 Betten;76;703,4079;3,4822;0,5114;0,016;00;b0499
2;00_Deutschland;500 bis 599 Betten;35;711,3714;3,9003;0,6052;0,0083;00;b0599
2;00_Deutschland;600 bis 799 Betten;37;1094,7568;3,3455;0,5449;0,0156;00;b0799
2;00_Deutschland;800 bis 999 Betten;13;717,7692;3,4319;0,5719;0,0107;00;b0999
2;00_Deutschland;1000 Betten und mehr;12;936,00;4,1325;0,6931;0,0117;00;b1000+
2;00_Deutschland;Ohne Angabe;6;990,00;3,20;0,5427;0,0123;00;oA
1;01_Schleswig-Holstein;bis 49 Betten;11;661,8182;12,0818;0,7722;0,0676;01;b0049 
2;01_Schleswig-Holstein;bis 49 Betten;8;1403,75;2,675;0,5635;0,0825;01;b0049 
1;01_Schleswig-Holstein;50 bis 99 Betten;7;1817,8571;13,9571;1,5169;0,0064;01;b0099 
2;01_Schleswig-Holstein;50 bis 99 Betten;3;3061,6667;3,5667;0,6113;0,0156;01;b0099 
1;01_Schleswig-Holstein;100 bis 149 Betten;3;10050,3333;9,20;1,08;0,2737;01;b0149 
2;01_Schleswig-Holstein;100 bis 149 Betten;-999;-999,00;-999,00;-999,00;-9,99;01;b0149 
1;01_Schleswig-Holstein;150 bis 199 Betten;5;7823,00;5,76;0,94;0,0407;01;b0199 
2;01_Schleswig-Holstein;150 bis 199 Betten;4;321,50;2,325;0,4288;0,0311;01;b0199 
1;01_Schleswig-Holstein;200 bis 249 Betten;4;7304,75;7,375;1,2568;0,0189;01;b0249 
2;01_Schleswig-Holstein;200 bis 249 Betten;0;0,00;0,00;0,00;0,00;01;b0249 
1;01_Schleswig-Holstein;250 bis 299 Betten;0;0,00;0,00;0,00;0,00;01;b0299 
2;01_Schleswig-Holstein;250 bis 299 Betten;0;0,00;0,00;0,00;0,00;01;b0299 
1;01_Schleswig-Holstein;300 bis 399 Betten;6;12921,3333;6,7333;1,1743;0,0239;01;b0399 
2;01_Schleswig-Holstein;300 bis 399 Betten;5;307,60;3,22;0,6174;0,0091;01;b0399 
1;01_Schleswig-Holstein;400 bis 499 Betten;4;18113,00;5,775;1,0893;0,0384;01;b0499 
2;01_Schleswig-Holstein;400 bis 499 Betten;4;645,25;3,675;0,4258;0,0387;01;b0499 
1;01_Schleswig-Holstein;500 bis 599 Betten;3;23905,3333;6,70;1,0193;0,0682;01;b0599 
2;01_Schleswig-Holstein;500 bis 599 Betten;3;154,3333;4,8667;0,6317;0,0043;01;b0599 
1;01_Schleswig-Holstein;600 bis 799 Betten;2;27888,50;6,50;1,028;0,0749;01;b0799 
2;01_Schleswig-Holstein;600 bis 799 Betten;2;1655,50;2,50;0,4345;0,0347;01;b0799 
1;01_Schleswig-Holstein;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;01;b0999 
2;01_Schleswig-Holstein;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;01;b0999 
1;01_Schleswig-Holstein;1000 Betten und mehr;3;43711,6667;6,20;1,302;0,0381;01;b1000+
2;01_Schleswig-Holstein;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;01;b1000+
1;01_Schleswig-Holstein;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;01;oA    
2;01_Schleswig-Holstein;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;01;oA    
1;02_Hamburg;bis 49 Betten;2;965,50;7,00;3,9285;0,0057;02;b0049 
2;02_Hamburg;bis 49 Betten;3;916,6667;3,00;0,5507;0,0044;02;b0049 
1;02_Hamburg;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0099 
2;02_Hamburg;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;02;b0099 
1;02_Hamburg;100 bis 149 Betten;5;6317,40;5,14;1,0418;0,0128;02;b0149 
2;02_Hamburg;100 bis 149 Betten;0;0,00;0,00;0,00;0,00;02;b0149 
1;02_Hamburg;150 bis 199 Betten;5;8664,20;7,82;1,361;0,0309;02;b0199 
2;02_Hamburg;150 bis 199 Betten;0;0,00;0,00;0,00;0,00;02;b0199 
