Type;Gesamt;Anzahl KH;mwFallzahlHA;mwVWDkh;mwCMIkh;antSTF;BLCode
1;00_Deutschland;1481;11980,8521;7,8961;1,179;0,0288;00
2;00_Deutschland;703;864,0469;3,5986;0,5694;0,0166;00
1;01_Schleswig-Holstein;49;10767,9184;7,7893;1,061;0,0562;01
1;02_Hamburg;29;15947,5862;7,4718;1,5269;0,0274;02
1;03_Niedersachsen;153;10250,5556;6,9509;1,065;0,0367;03
1;04_Bremen;12;16905,9167;6,1574;1,1206;0,0373;04
1;05_Nordrhein-Westfalen;307;13953,4723;7,2505;1,0314;0,0234;05
1;06_Hessen;113;10543,1327;8,3601;1,2691;0,0259;06
1;07_Rheinland-Pfalz;78;11097,8333;6,9414;1,0201;0,0312;07
1;08_Baden-Württemberg;162;12369,3025;7,8184;1,1716;0,0318;08
1;09_Bayern;265;9771,883;7,0625;1,0979;0,0378;09
1;10_Saarland;21;12204,619;8,1017;1,0973;0,0261;10
1;11_Berlin;44;17607,25;8,1436;1,2434;0,0255;11
1;12_Brandenburg;53;10027,5094;8,9988;1,1362;0,0192;12
1;13_Mecklenburg-Vorpommern;32;12226,00;6,9117;1,2378;0,0212;13
1;14_Sachsen;77;12497,6364;9,0335;1,5043;0,019;14
1;15_Sachsen-Anhalt;43;13290,8372;7,6754;1,1092;0,0205;15
1;16_Thüringen;43;13039,5581;11,4271;1,2396;0,0174;16
2;01_Schleswig-Holstein;32;979,8125;3,2328;0,5216;0,0444;01
2;02_Hamburg;6;937,3333;3,125;0,6239;0,0025;02
2;03_Niedersachsen;91;672,8681;3,4123;0,5271;0,0114;03
2;04_Bremen;-999;-999,00;-999,00;-999,00;-9,99;04
2;05_Nordrhein-Westfalen;136;531,6765;2,9329;0,4932;0,0099;05
2;06_Hessen;61;1633,9344;3,6922;0,5672;0,0186;06
2;07_Rheinland-Pfalz;51;799,098;3,8667;0,5102;0,0205;07
2;08_Baden-Württemberg;87;698,6667;3,7314;0,529;0,0129;08
2;09_Bayern;153;1289,7516;3,6915;0,556;0,0177;09
2;10_Saarland;11;546,9091;3,2786;0,495;0,0111;10
2;11_Berlin;8;1078,50;3,9333;0,8772;0,0061;11
2;12_Brandenburg;6;180,6667;4,225;0,6323;0,0148;12
2;13_Mecklenburg-Vorpommern;8;227,875;3,75;0,581;0,0077;13
2;14_Sachsen;29;408,6552;4,2223;0,7183;0,0062;14
2;15_Sachsen-Anhalt;15;296,00;3,9222;0,6259;0,0036;15
2;16_Thüringen;8;532,375;3,3933;0,5152;0,0085;16
