Type;Type2;AufAnlName;Anzahl;sortnr
1;A;Einweisung durch Arzt (E, Z);8540262;1
1;A;Notfall;7969699;2
1;A;nach vorausg. Behandlung in Reha-Einricht.;3172;3
1;A;Verlegung (A) Behandlungsdauer > 24h;460124;4
1;A;Verlegung (A) Behandlungsdauer < 24h;179136;5
1;A;Geburt;591249;7
1;A;Aufnahmen gesamt (ohne Begleitpersonen);17743642;8
1;E;Behandlung beendet (01, 03, 04);14835307;9
1;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);1154648;10
1;E;Tod;398665;11
1;E;Verlegung (E) in ein anderes Krankenhaus;581938;12
1;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;14183;13
1;E;Externe Verlegung (E) zur psych. Behandlung;13592;14
1;E;Fallabschluss (interne Verlegung) mit Wechsel zwischen voll- und teilstationärer Behandlung;2655;15
1;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);713531;16
1;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;28209;17
1;E;Zuständigkeitswechsel des Kostenträgers;914;18
1;E;Entlassungen/Verlegungen gesamt;17743642;20
2;A;Einweisung durch Arzt (E, Z);475683;1
2;A;Notfall;82674;2
2;A;nach vorausg. Behandlung in Reha-Einricht.;10;3
2;A;Verlegung (A) Behandlungsdauer > 24h;2053;4
2;A;Verlegung (A) Behandlungsdauer < 24h;1127;5
2;A;Geburt;45878;7
2;A;Aufnahmen gesamt (ohne Begleitpersonen);607425;8
2;E;Behandlung beendet (01, 03, 04);581346;9
2;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);2190;10
2;E;Tod;1713;11
2;E;Verlegung (E) in ein anderes Krankenhaus;8373;12
2;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;373;13
2;E;Externe Verlegung (E) zur psych. Behandlung;24;14
2;E;Fallabschluss (interne Verlegung) mit Wechsel zwischen voll- und teilstationärer Behandlung;6;15
2;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);13347;16
2;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;48;17
2;E;Zuständigkeitswechsel des Kostenträgers;5;18
2;E;Entlassungen/Verlegungen gesamt;607425;20
