Type;viersteller;vierstellername;AnzahlA;Anzahl KH;mwNennungenKH;antKHTop10Prozent;antKHTop20Prozent;antKHTop30Prozent;antKHTop40Prozent;antKHTop50Prozent
1;5-010;Schädeleröffnung über die Kalotte;69035;319;216,4107;0,4706;0,7038;0,8436;0,9339;0,976
1;5-011;Zugang durch die Schädelbasis;4140;190;21,7895;0,5072;0,7029;0,8126;0,88;0,9256
1;5-012;Inzision der Schädelknochen [Kraniotomie und Kraniektomie];7003;256;27,3555;0,3827;0,5872;0,7388;0,8468;0,9209
1;5-013;Inzision von Gehirn und Hirnhäuten;20907;265;78,8943;0,3557;0,5646;0,7224;0,8365;0,9169
1;5-014;Stereotaktische Operationen an Schädel, Gehirn und Hirnhäuten;1683;95;17,7158;0,6441;0,8152;0,9014;0,9388;0,9602
1;5-015;Exzision und Destruktion von erkranktem intrakraniellem Gewebe;20838;209;99,7033;0,3917;0,6037;0,7417;0,8413;0,9116
1;5-016;Exzision und Destruktion von erkranktem Gewebe der Schädelknochen;2505;225;11,1333;0,4778;0,6727;0,79;0,8655;0,9178
1;5-017;Inzision, Resektion und Destruktion an intrakraniellen Anteilen von Hirnnerven und Ganglien;1577;131;12,0382;0,4978;0,6969;0,8098;0,8732;0,9195
1;5-018;Mikrovaskuläre Dekompression von intrakraniellen Nerven;747;123;6,0732;0,411;0,5904;0,7041;0,7938;0,8635
1;5-020;Kranioplastik;9417;239;39,4017;0,4702;0,6722;0,8023;0,8866;0,9387
1;5-021;Rekonstruktion der Hirnhäute;31173;308;101,211;0,4799;0,7156;0,857;0,9385;0,9766
1;5-022;Inzision am Liquorsystem;13886;265;52,40;0,4321;0,6399;0,7845;0,8756;0,9389
1;5-023;Anlegen eines Liquorshuntes [Shunt-Implantation];6560;234;28,0342;0,389;0,5945;0,7358;0,8409;0,9096
1;5-024;Revision und Entfernung von Liquorableitungen;9855;263;37,4715;0,5022;0,7011;0,8176;0,897;0,9462
1;5-025;Inzision, Exzision, Destruktion und Verschluss von intrakraniellen Blutgefäßen;4300;173;24,8555;0,3495;0,5733;0,7156;0,8214;0,893
1;5-026;Rekonstruktion von intrakraniellen Blutgefäßen;194;54;3,5926;0,3711;0,6031;0,6959;0,7887;0,8505
1;5-027;Anlegen eines Bypasses und Transposition von intrakraniellen Blutgefäßen;152;29;5,2414;0,5987;0,7368;0,8224;0,8618;0,9013
1;5-028;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten;2204;87;25,3333;0,49;0,7219;0,8439;0,9265;0,9696
1;5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;6577;211;31,1706;0,5074;0,7134;0,8334;0,9071;0,9495
1;5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;43016;644;66,795;0,3833;0,5895;0,7268;0,8214;0,8889
1;5-031;Zugang zur Brustwirbelsäule;25742;659;39,0622;0,4903;0,70;0,8235;0,8986;0,9452
1;5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;276065;888;310,884;0,4115;0,6218;0,758;0,8546;0,9198
1;5-033;Inzision des Spinalkanals;31098;604;51,4868;0,5465;0,7432;0,8501;0,9131;0,9513
