Stufe;SummeBA;SummeBAw;SummeBAm;SummeBAu;Anteilw;Anteilm;Anteilu;SSTUFE
u. 1 Jahr;47028;22914;24113;1;0,4872;0,5127;0,00;00
1 bis u. 5 J.;10122;4136;5986;0;0,4086;0,5914;0,00;01
5 bis u. 10 J.;9073;4131;4941;1;0,4553;0,5446;0,0001;05
10 bis u. 15 J.;6394;3344;3050;0;0,523;0,477;0,00;10
15 bis u. 20 J.;19071;11885;7186;0;0,6232;0,3768;0,00;15
20 bis u. 25 J.;30438;19983;10455;0;0,6565;0,3435;0,00;20
25 bis u. 30 J.;39434;28852;10580;2;0,7317;0,2683;0,0001;25
30 bis u. 35 J.;41472;31318;10154;0;0,7552;0,2448;0,00;30
35 bis u. 40 J.;30715;21109;9606;0;0,6873;0,3127;0,00;35
40 bis u. 45 J.;27435;15821;11614;0;0,5767;0,4233;0,00;40
45 bis u. 50 J.;35010;18771;16239;0;0,5362;0,4638;0,00;45
50 bis u. 55 J.;38317;19409;18907;1;0,5065;0,4934;0,00;50
55 bis u. 60 J.;37446;17512;19932;2;0,4677;0,5323;0,0001;55
60 bis u. 65 J.;39277;18442;20833;2;0,4695;0,5304;0,0001;60
65 bis u. 70 J.;37148;17859;19289;0;0,4808;0,5192;0,00;65
70 bis u. 75 J.;51621;25070;26550;1;0,4857;0,5143;0,00;70
75 bis u. 80 J.;52145;26799;25346;0;0,5139;0,4861;0,00;75
80 bis u. 85 J.;30915;16900;14015;0;0,5467;0,4533;0,00;80
85 bis u. 90 J.;17793;10256;7537;0;0,5764;0,4236;0,00;85
90 J. und älter;6571;4349;2222;0;0,6618;0,3382;0,00;90
