Type;mdc;Name;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu
1;00;Prä-MDC;149715;57124;92585;6;0.3816;0.6184;0.00
1;01;MDC 01 Krankheiten und Störungen des Nervensystems;1579967;797761;782187;19;0.5049;0.4951;0.00
1;02;MDC 02 Krankheiten und Störungen des Auges;337335;177302;160023;10;0.5256;0.4744;0.00
1;03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;712896;327445;385438;13;0.4593;0.5407;0.00
1;04;MDC 04 Krankheiten und Störungen der Atmungsorgane;1433874;615451;818391;32;0.4292;0.5708;0.00
1;05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;2863256;1313164;1550060;32;0.4586;0.5414;0.00
1;06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;2114867;1037434;1077395;38;0.4905;0.5094;0.00
1;07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;570383;291205;279169;9;0.5105;0.4894;0.00
1;08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;2672875;1511924;1160909;42;0.5657;0.4343;0.00
1;09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;826444;485014;341418;12;0.5869;0.4131;0.00
1;10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;478907;288943;189961;3;0.6033;0.3967;0.00
1;11;MDC 11 Krankheiten und Störungen der Harnorgane;837929;359211;478699;19;0.4287;0.5713;0.00
1;12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;206524;5;206519;0;0.00;1.00;0.00
1;13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;370701;370674;26;1;0.9999;0.0001;0.00
1;14;MDC 14 Schwangerschaft, Geburt und Wochenbett;957050;957050;0;0;1.00;0.00;0.00
1;15;MDC 15 Neugeborene;717104;346877;370211;16;0.4837;0.5163;0.00
1;16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;147818;81285;66531;2;0.5499;0.4501;0.00
1;17;MDC 17 Hämatologische und solide Neubildungen;190540;85812;104725;3;0.4504;0.5496;0.00
1;18A;MDC 18A HIV;4036;750;3286;0;0.1858;0.8142;0.00
1;18B;MDC 18B Infektiöse und parasitäre Krankheiten;249852;115337;134513;2;0.4616;0.5384;0.00
1;19;MDC 19 Psychische Krankheiten und Störungen;97622;59947;37669;6;0.6141;0.3859;0.0001
1;20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;164494;47683;116805;6;0.2899;0.7101;0.00
1;21A;MDC 21A Polytrauma;12077;4256;7820;1;0.3524;0.6475;0.0001
1;21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;218228;103296;114928;4;0.4733;0.5266;0.00
1;22;MDC 22 Verbrennungen;14712;5953;8759;0;0.4046;0.5954;0.00
1;23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;100731;53211;47518;2;0.5282;0.4717;0.00
1;FE;Fehler-DRGs und sonstige DRGs;44019;20877;23136;6;0.4743;0.5256;0.0001
2;00;Prä-MDC;162;58;104;0;0.358;0.642;0.00
2;01;MDC 01 Krankheiten und Störungen des Nervensystems;4873;2643;2230;0;0.5424;0.4576;0.00
