Type;Stufe;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu;SSTUFE
1;unter 1 Jahr;885201;418534;466644;23;0.4728;0.5272;0.00;00
1;1 bis unter 5 Jahre;330542;142172;188362;8;0.4301;0.5699;0.00;01
1;5 bis unter 10 Jahre;221187;95548;125630;9;0.432;0.568;0.00;05
1;10 bis unter 15 Jahre;262878;128441;134433;4;0.4886;0.5114;0.00;10
1;15 bis unter 20 Jahre;433667;244674;188986;7;0.5642;0.4358;0.00;15
1;20 bis unter 25 Jahre;510865;313294;197562;9;0.6133;0.3867;0.00;20
1;25 bis unter 30 Jahre;692565;477486;215070;9;0.6894;0.3105;0.00;25
1;30 bis unter 35 Jahre;740316;521536;218769;11;0.7045;0.2955;0.00;30
1;35 bis unter 40 Jahre;624038;391634;232396;8;0.6276;0.3724;0.00;35
1;40 bis unter 45 Jahre;599163;314611;284546;6;0.5251;0.4749;0.00;40
1;45 bis unter 50 Jahre;868843;425053;443782;8;0.4892;0.5108;0.00;45
1;50 bis unter 55 Jahre;1124664;527594;597059;11;0.4691;0.5309;0.00;50
1;55 bis unter 60 Jahre;1225468;545582;679875;11;0.4452;0.5548;0.00;55
1;60 bis unter 65 Jahre;1321132;587719;733399;14;0.4449;0.5551;0.00;60
1;65 bis unter 70 Jahre;1311435;596205;715211;19;0.4546;0.5454;0.00;65
1;70 bis unter 75 Jahre;1710001;809043;900939;19;0.4731;0.5269;0.00;70
1;75 bis unter 80 Jahre;2120270;1075516;1044732;22;0.5073;0.4927;0.00;75
1;80 bis unter 85 Jahre;1520921;850553;670340;28;0.5592;0.4407;0.00;80
1;85 bis unter 90 Jahre;1045503;660860;384615;28;0.6321;0.3679;0.00;85
1;90 Jahre und älter;525297;388936;136331;30;0.7404;0.2595;0.0001;90
2;unter 1 Jahr;44592;21681;22910;1;0.4862;0.5138;0.00;00
2;1 bis unter 5 Jahre;9059;3652;5406;1;0.4031;0.5968;0.0001;01
2;5 bis unter 10 Jahre;7850;3574;4276;0;0.4553;0.5447;0.00;05
2;10 bis unter 15 Jahre;5826;3120;2706;0;0.5355;0.4645;0.00;10
2;15 bis unter 20 Jahre;17847;11018;6829;0;0.6174;0.3826;0.00;15
2;20 bis unter 25 Jahre;28274;18451;9823;0;0.6526;0.3474;0.00;20
2;25 bis unter 30 Jahre;38422;27778;10644;0;0.723;0.277;0.00;25
2;30 bis unter 35 Jahre;39030;29325;9705;0;0.7513;0.2487;0.00;30
2;35 bis unter 40 Jahre;29410;19787;9622;1;0.6728;0.3272;0.00;35
2;40 bis unter 45 Jahre;24663;14134;10529;0;0.5731;0.4269;0.00;40
2;45 bis unter 50 Jahre;31755;16710;15045;0;0.5262;0.4738;0.00;45
2;50 bis unter 55 Jahre;36975;18507;18466;2;0.5005;0.4994;0.0001;50
2;55 bis unter 60 Jahre;35913;16733;19180;0;0.4659;0.5341;0.00;55
2;60 bis unter 65 Jahre;36947;17227;19719;1;0.4663;0.5337;0.00;60
2;65 bis unter 70 Jahre;35985;16997;18987;1;0.4723;0.5276;0.00;65
2;70 bis unter 75 Jahre;43750;21317;22433;0;0.4872;0.5128;0.00;70
2;75 bis unter 80 Jahre;50365;25399;24966;0;0.5043;0.4957;0.00;75
2;80 bis unter 85 Jahre;30375;16190;14185;0;0.533;0.467;0.00;80
2;85 bis unter 90 Jahre;16877;9554;7323;0;0.5661;0.4339;0.00;85
2;90 Jahre und älter;6329;4120;2209;0;0.651;0.349;0.00;90
