Type;drg;name;AnzahlA;mwVwd;vwdStd;AnzKLA;AntKLA;AnzLLA;AntLLA
1;901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta;635;25.0425;17.3984;84;0.1323;89;0.1402
1;901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskuläre Implantation von Stent-Prothesen an der Aorta, mit hochkomplexer OR-Prozedur oder komplizierender Konstellation;3903;21.9693;14.4087;419;0.1074;463;0.1186
1;901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne kompl. Konstellation, ohne Strahlentherapie, ohne hochkomplexe OR-Prozedur, mit kompl. OR-Prozedur od. mit anderen Eingriffen an Kopf und Wirbelsäule od. Alter < 1 J. od. bei Para- / Tetraplegie;1619;18.7449;12.262;195;0.1204;207;0.1279
1;901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne komplexe OR-Prozedur, ohne andere Eingriffe an Kopf und Wirbelsäule, Alter > 0 Jahre, außer bei Para- / Tetraplegie;29525;13.7204;10.4098;3482;0.1179;2937;0.0995
1;902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;7947;9.617;9.1473;1568;0.1973;606;0.0763
1;960Z;Nicht gruppierbar;86;5.7442;11.0934;0;0.00;0;0.00
1;961Z;Unzulässige Hauptdiagnose;209;9.0096;19.3145;0;0.00;0;0.00
1;962Z;Unzulässige Kodierung einer Sectio caesarea;4;4.75;1.2583;0;0.00;0;0.00
1;963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht;91;8.8681;10.6763;21;0.2308;31;0.3407
1;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;102;63.1078;34.3592;9;0.0882;39;0.3824
1;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre;273;42.0659;33.4615;15;0.0549;68;0.2491
1;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;324;29.00;19.2066;4;0.0123;51;0.1574
1;A02Z;Transplantation von Niere und Pankreas;91;28.7802;17.4514;0;0.00;14;0.1538
1;A03A;Lungentransplantation mit Beatmung > 179 Stunden;52;50.9231;21.3366;3;0.0577;14;0.2692
1;A03B;Lungentransplantation ohne Beatmung > 179 Stunden;197;31.1523;18.8803;7;0.0355;40;0.203
1;A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;20;111.85;55.7459;0;0.00;0;0.00
1;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre;355;63.6676;42.0036;1;0.0028;92;0.2592
1;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre;570;50.3053;26.7214;1;0.0018;130;0.2281
1;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, ohne In-vitro-Aufbereitung, Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch;1770;41.3706;19.1514;5;0.0028;257;0.1452
1;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;144;34.4306;12.6892;1;0.0069;7;0.0486
1;A05A;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;102;132.1667;132.2234;9;0.0882;45;0.4412
1;A05B;Herztransplantation ohne Beatmung > 179 Stunden, Alter > 15 Jahre;157;112.2866;75.7806;24;0.1529;65;0.414
1;A06A;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 5520 / - Aufwandspunkte oder mit hochkomplexem Eingriff oder mit komplexer OR-Prozedur oder Polytrauma und mit intensivmed. Komplexbehandlung > - / 3680 / 3680 Aufwandspunkte;587;140.3254;52.1525;0;0.00;274;0.4668
1;A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 3680 / 3680 Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma;1140;117.7763;45.3755;0;0.00;375;0.3289
1;A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.;757;96.7292;49.4682;0;0.00;305;0.4029
1;A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit kompl. OR-Proz. und kompliz. Konst. od. mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - Punkte;1502;77.4727;29.7768;0;0.00;373;0.2483
1;A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 2352 / 1932 / 2208 Punkte;2986;70.4009;27.6421;0;0.00;624;0.209
1;A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 1932 / 2208 Aufwandspunkte, mit komplexer Diagnose;593;72.0455;30.79;0;0.00;191;0.3221
1;A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 1932 / 2208 Aufwandspunkte, ohne komplexe Diagnose;1078;64.7607;21.9376;0;0.00;275;0.2551
1;A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit hochkomplexem Eingriff oder kompl. OR-Proz. und Alter < 16 Jahre, mit int. Komplexbeh. > 1764/1932/- P. oder mit sehr kompl. Eingr. und int. Komplexbeh. > -/2208/- P.;1368;69.4218;38.9081;0;0.00;447;0.3268
1;A09B;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764/1932/- P. und Alter < 16 Jahre;6061;51.7571;27.0685;0;0.00;1632;0.2693
1;A09C;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 1754/1656/2208 P. oder mit komplizierender Konstellation oder Alter < 16 Jahre;6531;45.8183;26.6188;0;0.00;1441;0.2206
1;A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470/1380/1380 und < 1765/1657/2209 Aufwandspunkte;3280;44.5994;19.1941;0;0.00;562;0.1713
1;A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470/1380/1380 Aufwandspunkte, mit komplexer Diagnose oder Prozedur;2444;44.5663;27.2092;0;0.00;580;0.2373
1;A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470/1380/1380 Aufwandspunkte, ohne komplexe Diagnose oder Prozedur;4282;39.4895;20.3232;0;0.00;715;0.167
1;A11A;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit hochkompl. Eingriff oder Alter < 2 J. bei angeb. Fehlbildung od. mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 J.;1472;50.3838;32.2061;42;0.0285;424;0.288
1;A11B;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmed. Komplexbeh. > 1764 / 1656 / 1656 Punkte., mit kompl. OR-Proz. und Alter < 16 J. oder kompliz. Konst., od. bei Tumor od. angeb. Fehlbild., Alt. < 3 J. od. intensivmed. Komplexbeh. > - / 1104 / - P.;5219;32.8145;20.8577;0;0.00;1058;0.2027
1;A11C;Beatmung > 249 Stunden, ohne komplexe OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit komplizierender Konstellation und bestimmter OR-Prozedur, Alter > 15 Jahre;805;31.9913;22.1436;0;0.00;173;0.2149
1;A11D;Beatmung > 249 Stunden, mit komplexer OR-Prozedur, ohne hochkomplexen Eingriff, ohne int. Komplexbeh. > 1764 / 1656 / 1656 P., ohne kompliz. Konstellation, Alter > 15 Jahre oder mit intensivmedizinischer Komplexbehandlung > 588 / 828 / - Aufwandspunkte;8841;27.9244;18.2609;0;0.00;1227;0.1388
1;A11E;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit bestimmter OR-Prozedur oder kompliz. Konstellation oder intensivmed. Komplexbehandlung > - / - / 1104 P. oder Alter < 6 Jahre;4102;32.1017;21.7108;0;0.00;792;0.1931
1;A11F;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 5 Jahre, mit komplexer Diagnose oder Prozedur oder Alter < 16 Jahre;4606;27.789;22.0334;0;0.00;864;0.1876
1;A11G;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose od. Prozedur, mit äußerst schweren CC;3199;27.2169;20.1703;0;0.00;554;0.1732
1;A11H;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;2040;22.8167;13.9817;0;0.00;295;0.1446
1;A13A;Beatmung > 95 Std. mit hochkompl. Eingr. od. mit kompl. OR-Proz. u. int. Komplexbeh. > 1176 / 1380 / 1656 P. od. mit kompl. OR-Proz. u. int. Komplexbeh. > - / 1104 / 1104 P. od. b. Lymphom und Leukämie, m. kompliz. Konst. u. best. OR-Proz., Alter < 16 J.;1528;31.142;23.3113;84;0.055;387;0.2533
1;A13B;Beatmung > 95 Stunden mit sehr komplexem Eingriff oder mit komplexer OR-Prozedur und komplizierender Konstellation oder mit best. OR-Proz. und kompliz. Konst., Alter < 16 Jahre od. mit intensivmed. Komplexbeh. > - / 1104 / 1104 Punkte und kompliz. Konst.;3152;25.1018;22.7052;516;0.1637;528;0.1675
1;A13C;Beatmung > 95 Stunden ohne komplexe OR-Prozedur, mit bestimmter OR-Proz. und kompliz. Konstellation, Alter > 15 J. oder mit intensivmed. Komplexbeh. > - / 1104 / 1104 Punkte od. Alter < 16 J., außer bei Lymphom und Leukämie, ohne kompliz. Konstellation;1452;36.7472;25.4372;63;0.0434;327;0.2252
1;A13D;Beatmung > 95 Stunden mit komplexer OR-Prozedur, ohne hochkompl. od. sehr kompl. Eingriff, ohne intensivmed. Komplexbeh. > 1176 / 1104 / 1104 Punkte, ohne kompliz. Konst., ohne Eingr. bei angeb. Fehlbild. od. mit intensivmed. Komplexbeh. > - / 828 / - P.;8135;21.7898;16.9463;773;0.095;974;0.1197
1;A13E;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur oder komplizierender Konstellation oder mit intensivmedizinischer Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte und < 1177 / 829 / 1105 Aufwandspunkte od. Alter < 16 Jahre;9580;24.8539;17.6937;194;0.0203;1479;0.1544
1;A13F;Beatmung > 95 Stunden, ohne bestimmte OR-Prozedur, ohne komplizierende Konstellation, ohne intensivmed. Komplexbeh. > 588 / 552 / 552 Aufwandspunkte, Alter > 15 Jahre, mit komplexer Diagnose oder Prozedur od. intensivmed. Komplexbeh. > - / 368 / - Punkte;14540;15.6368;13.8306;0;0.00;1754;0.1206
1;A13G;Beatmung > 95 Stunden, mit bestimmter OR-Prozedur oder kompliz. Konstellation, mit äußerst schweren CC, verstorben oder verlegt < 9 Tage oder ohne best. OR-Proz., ohne kompliz. Konst., Alter > 15 J., ohne kompliz. Diagnose od. Prozedur, mit äuß. schw. CC;6314;15.8221;14.0137;1;0.0002;782;0.1239
1;A13H;Beatmung > 95 Stunden mit bestimmter OR-Prozedur oder kompliz. Konstellation, ohne äußerst schwere CC, verstorben oder verlegt < 9 Tage oder ohne best. OR-Proz., ohne kompliz. Konst., Alter > 15 J., ohne kompliz. Diagnose oder Proz., ohne äuß. schw. CC;9123;13.6809;9.1638;1;0.0001;860;0.0943
1;A15A;Knochenmarktransplantation / Stammzelltransfusion, autogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;8;51.25;14.7527;0;0.00;0;0.00
1;A15B;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter < 16 Jahre;116;27.4828;12.3016;2;0.0172;7;0.0603
1;A15C;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter > 15 Jahre;1602;24.4869;9.178;15;0.0094;124;0.0774
1;A15D;Knochenmarktransplantation / Stammzelltransfusion, autogen, bei Plasmozytom;2683;20.369;6.7291;3;0.0011;201;0.0749
1;A16A;Transplantation von Darm oder Pankreas;5;20.40;5.7271;0;0.00;0;0.00
1;A16B;Injektion von Pankreasgewebe;0;0.00;0;0;0.00;0;0.00
1;A17A;Nierentransplantation mit postoperativem Versagen des Nierentransplantates oder Alter < 16 Jahre oder AB0-inkompatible Transplantation;733;27.8868;14.5836;10;0.0136;126;0.1719
1;A17B;Nierentransplantation ohne postoperatives Versagen des Nierentransplantates, Alter > 15 Jahre oder ohne AB0-inkompatible Transplantation;1312;18.6684;9.0314;3;0.0023;95;0.0724
1;A18Z;Beatmung > 999 Stunden und Transplantation von Leber, Lunge, Herz und Knochenmark oder Stammzelltransfusion;154;145.1818;84.0567;0;0.00;91;0.5909
1;A22Z;Korrektureingriff bei Doppelfehlbildung;4;10.00;8.0829;0;0.00;0;0.00
1;A36A;Intensivmedizinische Komplexbehandlung > 1176 / 1656 / 1656 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder intensivmedizinische Komplexbehandlung > 588 / 552 / 552 P. bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;724;56.8039;40.0567;6;0.0083;192;0.2652
1;A36B;Intensivmedizinische Komplexbehandlung > 588 / 552 / 552 und < 1177 / 1657 / 1657 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder komplizierende Konstellation bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;2271;35.4425;25.6408;74;0.0326;429;0.1889
1;A42A;Stammzellentnahme bei Eigenspender mit Chemotherapie;1230;16.9171;7.0781;42;0.0341;57;0.0463
1;A42B;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter < 16 Jahre;128;4.3047;3.7909;14;0.1094;4;0.0313
1;A42C;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter > 15 Jahre;2072;4.7524;4.2176;406;0.1959;112;0.0541
1;A43Z;Frührehabilitation bei Wachkoma und Locked-in-Syndrom;402;68.7338;54.2368;0;0.00;0;0.00
1;A60A;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, mit Entfernung eines Organtransplantates oder komplexer OR-Prozedur oder äußerst schweren CC;1206;17.6733;18.0338;117;0.097;189;0.1567
