Type;Type2;Bereich;Bereichsname;Anzahl;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1;1;01;Bestimmte infektiöse und parasitäre Krankheiten;615079;7.3924;9.0541;25388;50236;22186;17192;23633;21403;19808;16752;14949;15387;21144;26391;28603;32563;34377;48555;68342;58172;45717;24281;0.0413;0.0817;0.0361;0.028;0.0384;0.0348;0.0322;0.0272;0.0243;0.025;0.0344;0.0429;0.0465;0.0529;0.0559;0.0789;0.1111;0.0946;0.0743;0.0395
1;1;02;Neubildungen;1773454;7.5692;9.5701;4226;9730;7473;7735;10855;11617;17741;24447;33082;54235;100267;142162;171189;205143;212093;253405;264073;146494;73171;24316;0.0024;0.0055;0.0042;0.0044;0.0061;0.0066;0.01;0.0138;0.0187;0.0306;0.0565;0.0802;0.0965;0.1157;0.1196;0.1429;0.1489;0.0826;0.0413;0.0137
1;1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;133119;6.3779;6.7925;970;3149;2760;2075;2414;1957;2153;2445;2727;3384;4984;6074;6586;8100;9187;13628;20154;18033;14294;8045;0.0073;0.0237;0.0207;0.0156;0.0181;0.0147;0.0162;0.0184;0.0205;0.0254;0.0374;0.0456;0.0495;0.0608;0.069;0.1024;0.1514;0.1355;0.1074;0.0604
1;1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;510029;7.5226;8.2841;1854;3826;5678;9545;8973;7647;9329;10944;13105;17001;25707;33257;34896;37113;37500;46123;66045;59819;50939;30728;0.0036;0.0075;0.0111;0.0187;0.0176;0.015;0.0183;0.0215;0.0257;0.0333;0.0504;0.0652;0.0684;0.0728;0.0735;0.0904;0.1295;0.1173;0.0999;0.0602
1;1;05;Psychische und Verhaltensstörungen;299413;5.0815;8.2413;720;3563;6017;10946;32045;19082;16956;17518;17832;19389;25265;27081;22556;15661;10970;12371;15578;12365;9070;4428;0.0024;0.0119;0.0201;0.0366;0.107;0.0637;0.0566;0.0585;0.0596;0.0648;0.0844;0.0904;0.0753;0.0523;0.0366;0.0413;0.052;0.0413;0.0303;0.0148
1;1;06;Krankheiten des Nervensystems;746119;6.2619;9.6101;4533;11541;12964;14695;20465;20905;24516;24592;26522;32465;48875;61326;61687;59727;55701;72831;88811;57305;33388;13270;0.0061;0.0155;0.0174;0.0197;0.0274;0.028;0.0329;0.033;0.0355;0.0435;0.0655;0.0822;0.0827;0.0801;0.0747;0.0976;0.119;0.0768;0.0447;0.0178
1;1;07;Krankheiten des Auges und der Augenanhangsgebilde;301113;3.0251;2.7523;1071;2725;4358;2780;2935;3288;4236;4379;4762;6287;11045;16590;20508;26530;30467;44361;55092;35057;18625;6017;0.0036;0.009;0.0145;0.0092;0.0097;0.0109;0.0141;0.0145;0.0158;0.0209;0.0367;0.0551;0.0681;0.0881;0.1012;0.1473;0.183;0.1164;0.0619;0.02
1;1;08;Krankheiten des Ohres und des Warzenfortsatzes;146804;3.9219;2.7541;2134;5972;3704;2960;3155;3449;4658;5378;6209;7599;10948;13227;13562;13093;11390;12909;13585;7708;3987;1177;0.0145;0.0407;0.0252;0.0202;0.0215;0.0235;0.0317;0.0366;0.0423;0.0518;0.0746;0.0901;0.0924;0.0892;0.0776;0.0879;0.0925;0.0525;0.0272;0.008
1;1;09;Krankheiten des Kreislaufsystems;2845454;7.5096;9.3154;1489;1703;2729;6254;11065;11196;14892;19905;28160;47142;95006;154405;204963;255277;280511;396377;525676;393346;268043;127315;0.0005;0.0006;0.001;0.0022;0.0039;0.0039;0.0052;0.007;0.0099;0.0166;0.0334;0.0543;0.072;0.0897;0.0986;0.1393;0.1847;0.1382;0.0942;0.0447
1;1;10;Krankheiten des Atmungssystems;1188992;7.1848;7.6273;48573;100051;31335;16373;27760;29384;29662;28020;26066;27600;37749;52185;65745;79582;84299;112611;140206;112198;88400;51193;0.0409;0.0841;0.0264;0.0138;0.0233;0.0247;0.0249;0.0236;0.0219;0.0232;0.0317;0.0439;0.0553;0.0669;0.0709;0.0947;0.1179;0.0944;0.0743;0.0431
1;1;11;Krankheiten des Verdauungssystems;1885759;5.5819;7.2756;11614;13648;18317;33089;53239;58142;65137;68146;73454;87097;126704;154366;153854;152549;140771;170448;206796;147219;101411;49758;0.0062;0.0072;0.0097;0.0175;0.0282;0.0308;0.0345;0.0361;0.039;0.0462;0.0672;0.0819;0.0816;0.0809;0.0746;0.0904;0.1097;0.0781;0.0538;0.0264
1;1;12;Krankheiten der Haut und der Unterhaut;285852;6.8424;9.994;3872;8336;6356;6374;15519;17883;18113;15622;14124;14352;18941;20901;19536;17585;15030;17883;21702;16062;11364;6297;0.0135;0.0292;0.0222;0.0223;0.0543;0.0626;0.0634;0.0547;0.0494;0.0502;0.0663;0.0731;0.0683;0.0615;0.0526;0.0626;0.0759;0.0562;0.0398;0.022
1;1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;1666543;7.204;7.0217;479;4705;8566;17899;25424;26845;34619;41746;52573;74308;124182;166575;176412;169522;149090;190462;212637;116352;55634;18513;0.0003;0.0028;0.0051;0.0107;0.0153;0.0161;0.0208;0.025;0.0315;0.0446;0.0745;0.10;0.1059;0.1017;0.0895;0.1143;0.1276;0.0698;0.0334;0.0111
1;1;14;Krankheiten des Urogenitalsystems;977682;5.0873;5.809;8582;8353;7045;9521;24072;32062;38787;41464;43884;50353;66511;71919;66527;70254;70738;90926;113040;79844;54985;28815;0.0088;0.0085;0.0072;0.0097;0.0246;0.0328;0.0397;0.0424;0.0449;0.0515;0.068;0.0736;0.068;0.0719;0.0724;0.093;0.1156;0.0817;0.0562;0.0295
1;1;15;Schwangerschaft, Geburt und Wochenbett;953828;3.8561;3.7445;34;2;2;441;29662;122912;276833;316937;169625;35113;2111;136;12;1;4;0;0;0;0;3;0;0.00;0;0.0005;0.0311;0.1289;0.2902;0.3323;0.1778;0.0368;0.0022;0.0001;0;0.00;0;0.00;0;0.00;0;0.00
1;1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;187294;9.2421;15.5681;187161;96;19;6;3;1;2;1;0;2;2;1;0;0;0;0;0;0;0;0;0.9993;0.0005;0.0001;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0.00
