BettenStufe;BereichName;Anzahl KH;Anteil KH;StufeSort;BereichSortName
0;CMI < 0,9;483;0,3257;alle;CMI09
0;CMI 0,9 bis unter 1,0;354;0,2387;alle;CMI0910
0;CMI 1,0 bis unter 1,1;220;0,1483;alle;CMI1011
0;CMI 1,1 bis unter 1,2;114;0,0769;alle;CMI1112
0;CMI 1,2 bis unter 1,3;65;0,0438;alle;CMI1213
0;CMI >= 1,3;247;0,1666;alle;CMI13
1;CMI < 0.9;108;0.6506;001 bis 049 Betten;CMI09
1;CMI 0.9 bis unter 1.0;8;0.0482;001 bis 049 Betten;CMI0910
1;CMI 1.0 bis unter 1.1;8;0.0482;001 bis 049 Betten;CMI1011
1;CMI 1.1 bis unter 1.2;7;0.0422;001 bis 049 Betten;CMI1112
1;CMI 1.2 bis unter 1.3;5;0.0301;001 bis 049 Betten;CMI1213
1;CMI >= 1.3;30;0.1807;001 bis 049 Betten;CMI13
2;CMI < 0.9;80;0.4124;050 bis 099 Betten;CMI09
2;CMI 0.9 bis unter 1.0;26;0.134;050 bis 099 Betten;CMI0910
2;CMI 1.0 bis unter 1.1;17;0.0876;050 bis 099 Betten;CMI1011
2;CMI 1.1 bis unter 1.2;10;0.0515;050 bis 099 Betten;CMI1112
2;CMI 1.2 bis unter 1.3;8;0.0412;050 bis 099 Betten;CMI1213
2;CMI >= 1.3;53;0.2732;050 bis 099 Betten;CMI13
3;CMI < 0.9;72;0.3564;100 bis 149 Betten;CMI09
3;CMI 0.9 bis unter 1.0;44;0.2178;100 bis 149 Betten;CMI0910
3;CMI 1.0 bis unter 1.1;28;0.1386;100 bis 149 Betten;CMI1011
3;CMI 1.1 bis unter 1.2;7;0.0347;100 bis 149 Betten;CMI1112
3;CMI 1.2 bis unter 1.3;9;0.0446;100 bis 149 Betten;CMI1213
3;CMI >= 1.3;42;0.2079;100 bis 149 Betten;CMI13
4;CMI < 0.9;62;0.378;150 bis 199 Betten;CMI09
4;CMI 0.9 bis unter 1.0;52;0.3171;150 bis 199 Betten;CMI0910
4;CMI 1.0 bis unter 1.1;17;0.1037;150 bis 199 Betten;CMI1011
4;CMI 1.1 bis unter 1.2;8;0.0488;150 bis 199 Betten;CMI1112
4;CMI 1.2 bis unter 1.3;4;0.0244;150 bis 199 Betten;CMI1213
4;CMI >= 1.3;21;0.128;150 bis 199 Betten;CMI13
5;CMI < 0.9;47;0.379;200 bis 249 Betten;CMI09
