Bundesland_A;AnzahlKH;AnzahlFall;BLCode
01_Schleswig-Holstein;56;674227;01
02_Hamburg;31;658179;02
03_Niedersachsen;151;1891210;03
04_Bremen;12;277567;04
05_Nordrhein-Westfalen;302;5312368;05
06_Hessen;116;1568377;06
07_Rheinland-Pfalz;74;1055237;07
08_Baden-Württemberg;166;2452969;08
09_Bayern;256;3372738;09
10_Saarland;22;311945;10
11_Berlin;47;991686;11
12_Brandenburg;53;628994;12
13_Mecklenburg-Vorpommern;32;492600;13
14_Sachsen;77;1138180;14
15_Sachsen-Anhalt;43;679741;15
16_Thüringen;42;708104;16
