Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
1;01;Bestimmte infektiöse und parasitäre Krankheiten;169;4750
1;02;Neubildungen;242;139807
1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;158;6538
1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;225;15106
1;05;Psychische und Verhaltensstörungen;235;18968
1;06;Krankheiten des Nervensystems;281;41350
1;07;Krankheiten des Auges und der Augenanhangsgebilde;81;8565
1;08;Krankheiten des Ohres und des Warzenfortsatzes;100;8656
1;09;Krankheiten des Kreislaufsystems;251;12816
1;10;Krankheiten des Atmungssystems;199;6117
1;11;Krankheiten des Verdauungssystems;199;14026
1;12;Krankheiten der Haut und der Unterhaut;127;18515
1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;284;29829
1;14;Krankheiten des Urogenitalsystems;213;12986
1;15;Schwangerschaft, Geburt und Wochenbett;25;956
1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;32;211
1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;92;5924
1;18;Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind;300;29853
1;19;Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen;229;9608
1;20;Äußere Ursachen von Morbidität und Mortalität;0;0
1;21;Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen;224;38632
1;22;Schlüsselnummern für besondere Zwecke;9;14
2;A00-A09;Infektiöse Darmkrankheiten;60;231
2;A15-A19;Tuberkulose;17;49
2;A20-A28;Bestimmte bakterielle Zoonosen;9;11
2;A30-A49;Sonstige bakterielle Krankheiten;73;348
2;A50-A64;Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden;29;198
2;A65-A69;Sonstige Spirochätenkrankheiten;50;213
2;A70-A74;Sonstige Krankheiten durch Chlamydien;3;6
2;A75-A79;Rickettsiosen;0;0
2;A80-A89;Virusinfektionen des Zentralnervensystems;22;47
2;A92-A99;Durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber;0;0
2;B00-B09;Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind;92;666
2;B15-B19;Virushepatitis;12;215
2;B20-B24;HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];14;2251
2;B25-B34;Sonstige Viruskrankheiten;27;132
2;B35-B49;Mykosen;40;177
2;B50-B64;Protozoenkrankheiten;12;34
2;B65-B83;Helminthosen;13;32
2;B85-B89;Pedikulose [Läusebefall], Akarinose [Milbenbefall] und sonstiger Parasitenbefall der Haut;24;67
2;B90-B94;Folgezustände von infektiösen und parasitären Krankheiten;2;3
2;B95-B98;Bakterien, Viren und sonstige Infektionserreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;0;0
2;B99-B99;Sonstige Infektionskrankheiten;25;70
